epoch;acc;loss;val_acc;val_loss
0;0.60285;0.649493767786026;0.5470753205128205;0.9645999574508423
1;0.71245;0.5587169721603393;0.7107487922705314;0.6072687027726964
2;0.76535;0.4905337501049042;0.8091787439613527;0.42218554327069463
3;0.80385;0.43109817280769347;0.8349436392914654;0.37581399323091796
4;0.825;0.3968496171712875;0.8409822866344605;0.36589481682785086
5;0.8432;0.360778861451149;0.8619162640901772;0.34209833482517327
6;0.8588;0.3298032588124275;0.8621175523349437;0.33325804023734995
7;0.87165;0.29824790925383565;0.8907004830917874;0.2712526825795043
8;0.8857;0.27558330802321435;0.8770128824476651;0.2892165307117545
9;0.8952;0.2564312755346298;0.9031803542673108;0.22832904819657068
